url	Date	Player Name	Postion	Team	Team_ID	Transaction_description
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# Danny_Mason2016-1-05Reserve/Future	2016-1-05	Danny Mason	LB	chicagobears	CHI	Reserve/Future	
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# Darius_Eubanks2016-1-01Free_Agent_Signing	2016-1-01	Darius Eubanks	DB	tampabaybuccaneers	TB	Free Agent Signing	
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# Darius_Eubanks2016-1-01Terminated_(by_Player)_from_Practice_Squad	2016-1-01	Darius Eubanks	DB	tampabaybuccaneers	TB	Terminated (by Player) from Practice Squad	
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# Darrin_Reaves2016-1-18Reserve/Future	2016-1-18	Darrin Reaves	RB	kansascitychiefs	KC	Reserve/Future	
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# Darrion_Weems2016-1-13Reserve/Future	2016-1-13	Darrion Weems	OT	dallascowboys	DAL	Reserve/Future	
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# Daryl_Richardson2016-1-20Reserve/Future	2016-1-20	Daryl Richardson	RB	clevelandbrowns	CLV	Reserve/Future	
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# David_Arkin2016-1-05Reserve/Future	2016-1-05	David Arkin	OG	losangelesrams	LA	Reserve/Future	
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# David_Fluellen2016-1-04Reserve/Future	2016-1-04	David Fluellen	RB	tennesseetitans	TEN	Reserve/Future	
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# David_Yankey2016-1-12Reserve/Future	2016-1-12	David Yankey	G	minnesotavikings	MIN	Reserve/Future	
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# Dax_Swanson2016-1-05Reserve/Future	2016-1-05	Dax Swanson	DB	miamidolphins	MIA	Reserve/Future	
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# DeAndre_Carter2016-1-12Terminated_(by_Club)_from_Practice_Squad	2016-1-12	DeAndre Carter	WR	newenglandpatriots	NE	Terminated (by Club) from Practice Squad	
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# DeAndre_Carter2016-1-13Practice_Squad	2016-1-13	DeAndre Carter	WR	newenglandpatriots	NE	Practice Squad	
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# DeAndre_Carter2016-1-25Reserve/Future	2016-1-25	DeAndre Carter	WR	newenglandpatriots	NE	Reserve/Future	
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# DeAngelo_Tyson2016-1-18Reserve/Future	2016-1-18	DeAngelo Tyson	DE	baltimoreravens	BAL	Reserve/Future	
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# DeShawn_Williams2016-1-06Free_Agent_Signing	2016-1-06	DeShawn Williams	DT	cincinnatibengals	CIN	Free Agent Signing	
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# DeShawn_Williams2016-1-06Terminated_(by_Player)_from_Practice_Squad	2016-1-06	DeShawn Williams	DT	cincinnatibengals	CIN	Terminated (by Player) from Practice Squad	
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# DeVier_Posey2016-1-05Reserve/Future	2016-1-05	DeVier Posey	WR	newyorkjets	NYJ	Reserve/Future	
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# Deion_Barnes2016-1-05Reserve/Future	2016-1-05	Deion Barnes	LB	newyorkjets	NYJ	Reserve/Future	
