url	Additional_Sort	GroupSort	Player_ID	Team_ID	Transaction_Date	Transaction_Description	Transaction_Type
http://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json REC# Chicago_Bulls_received_guard_Justin_Holiday_from_Atlanta_Hawks.2016-02-18	1610612737.0	Trade 2015034 	203200.0	1610612741.0	2016-02-18	Chicago Bulls received guard Justin Holiday from Atlanta Hawks.	Trade	
http://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json REC# Chicago_Bulls_waived_guard_Jake_Anderson.2015-10-13	0.0	Waive 957407 	202815.0	1610612741.0	2015-10-13	Chicago Bulls waived guard Jake Anderson.	Waive	
http://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json REC# Chicago_Bulls_waived_guard_Jordan_Crawford.2015-10-22	0.0	Waive 957769 	202348.0	1610612741.0	2015-10-22	Chicago Bulls waived guard Jordan Crawford.	Waive	
http://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json REC# Chicago_Bulls_waived_guard_Marcus_Simmons.2015-10-22	0.0	Waive 957770 	204136.0	1610612741.0	2015-10-22	Chicago Bulls waived guard Marcus Simmons.	Waive	
http://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json REC# Chicago_Bulls_waived_guard_Stefhon_Hannah.2015-10-13	0.0	Waive 957406 	202513.0	1610612741.0	2015-10-13	Chicago Bulls waived guard Stefhon Hannah.	Waive	
http://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json REC# Cleveland_Cavaliers_re-signed_center_Sasha_Kaun_to_a_Contract.2015-09-08	0.0	Signing 946094 	201619.0	1610612739.0	2015-09-08	Cleveland Cavaliers re-signed center Sasha Kaun to a Contract.	Signing	
http://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json REC# Cleveland_Cavaliers_re-signed_forward_James_Jones_to_a_Contract.2015-07-24	0.0	Signing 945407 	2592.0	1610612739.0	2015-07-24	Cleveland Cavaliers re-signed forward James Jones to a Contract.	Signing	
http://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json REC# Cleveland_Cavaliers_re-signed_forward_Kevin_Love_to_a_Contract.2015-07-09	0.0	Signing 944994 	201567.0	1610612739.0	2015-07-09	Cleveland Cavaliers re-signed forward Kevin Love to a Contract.	Signing	
http://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json REC# Cleveland_Cavaliers_re-signed_forward_LeBron_James_to_a_Contract.2015-07-10	0.0	Signing 945049 	2544.0	1610612739.0	2015-07-10	Cleveland Cavaliers re-signed forward LeBron James to a Contract.	Signing	
http://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json REC# Cleveland_Cavaliers_re-signed_forward_Tristan_Thompson_to_a_Contract.2015-10-22	0.0	Signing 957751 	202684.0	1610612739.0	2015-10-22	Cleveland Cavaliers re-signed forward Tristan Thompson to a Contract.	Signing	
http://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json REC# Cleveland_Cavaliers_re-signed_guard_Iman_Shumpert_to_a_Contract.2015-07-09	0.0	Signing 944963 	202697.0	1610612739.0	2015-07-09	Cleveland Cavaliers re-signed guard Iman Shumpert to a Contract.	Signing	
